Frequency (GHz)	DB(|S(2,1)|) : t_network_lpf	DB(|S(2,1)|) : EM_Extract_Doc
3.65	-16.526	-20.9149
3.66	-16.6312	-21.0113
3.67	-16.7355	-21.1068
3.68	-16.8391	-21.2016
3.69	-16.9418	-21.2955
3.7	-17.0438	-21.3886
3.71	-17.1449	-21.4809
3.72	-17.2453	-21.5724
3.73	-17.3449	-21.6632
3.74	-17.4438	-21.7532
3.75	-17.5418	-21.8425
3.76	-17.6392	-21.9309
3.77	-17.7357	-22.0183
3.78	-17.8315	-22.1048
3.79	-17.9266	-22.1904
3.8	-18.0209	-22.275
3.81	-18.1144	-22.3587
3.82	-18.2073	-22.4415
3.83	-18.2994	-22.5234
3.84	-18.3907	-22.6045
3.85	-18.4814	-22.6847
3.86	-18.5713	-22.7641
3.87	-18.6606	-22.8427
3.88	-18.7491	-22.9206
3.89	-18.8369	-22.9977
3.9	-18.924	-23.074
3.91	-19.0104	-23.1497
3.92	-19.0962	-23.2247
3.93	-19.1812	-23.299
3.94	-19.2656	-23.3727
3.95	-19.3492	-23.4458
3.96	-19.4322	-23.5183
3.97	-19.5146	-23.5903
3.98	-19.5962	-23.6617
3.99	-19.6772	-23.7326
4	-19.7576	-23.803
4.01	-19.8373	-23.873
4.02	-19.9163	-23.9424
4.03	-19.9947	-24.0115
4.04	-20.0724	-24.0801
4.05	-20.1495	-24.1483
4.06	-20.226	-24.2161
4.07	-20.3018	-24.2835
4.08	-20.377	-24.3506
4.09	-20.4516	-24.4173
4.1	-20.5255	-24.4836
4.11	-20.5989	-24.5495
4.12	-20.6716	-24.6151
4.13	-20.7436	-24.6804
4.14	-20.8151	-24.7453
4.15	-20.886	-24.8098
4.16	-20.9562	-24.8739
4.17	-21.0259	-24.9377
4.18	-21.0949	-25.0011
4.19	-21.1634	-25.0641
4.2	-21.2313	-25.1266
4.21	-21.2985	-25.1888
4.22	-21.3652	-25.2504
4.23	-21.4313	-25.3116
4.24	-21.4968	-25.3723
4.25	-21.5617	-25.4325
4.26	-21.6261	-25.4921
4.27	-21.6898	-25.5511
4.28	-21.753	-25.6095
4.29	-21.8156	-25.6672
4.3	-21.8777	-25.7243
4.31	-21.9392	-25.7806
4.32	-22.0001	-25.8362
4.33	-22.0604	-25.891
4.34	-22.1202	-25.945
4.35	-22.1795	-25.9981
4.36	-22.2381	-26.0503
4.37	-22.2963	-26.1015
4.38	-22.3538	-26.1519
4.39	-22.4108	-26.2016
4.4	-22.4673	-26.2505
4.41	-22.5232	-26.2987
4.42	-22.5786	-26.3462
4.43	-22.6334	-26.3928
4.44	-22.6877	-26.4386
4.45	-22.7415	-26.4835
4.46	-22.7947	-26.5276
4.47	-22.8474	-26.5707
4.48	-22.8995	-26.613
4.49	-22.9511	-26.6542
4.5	-23.0022	-26.6945
4.51	-23.0528	-26.7338
4.52	-23.1028	-26.7721
4.53	-23.1523	-26.8093
4.54	-23.2012	-26.8455
4.55	-23.2497	-26.8805
4.56	-23.2976	-26.9145
4.57	-23.345	-26.9473
4.58	-23.3919	-26.9791
4.59	-23.4382	-27.0096
4.6	-23.4841	-27.039
4.61	-23.5294	-27.0672
4.62	-23.5742	-27.0942
4.63	-23.6185	-27.1201
4.64	-23.6623	-27.1447
4.65	-23.7055	-27.1682
4.66	-23.7483	-27.1904
4.67	-23.7905	-27.2115
4.68	-23.8322	-27.2314
4.69	-23.8735	-27.2501
4.7	-23.9142	-27.2676
4.71	-23.9544	-27.284
4.72	-23.9941	-27.2992
4.73	-24.0333	-27.3133
4.74	-24.072	-27.3262
4.75	-24.1102	-27.3381
4.76	-24.1479	-27.3489
4.77	-24.185	-27.3586
4.78	-24.2217	-27.3673
4.79	-24.2579	-27.375
4.8	-24.2936	-27.3818
4.81	-24.3288	-27.3875
4.82	-24.3634	-27.3924
4.83	-24.3976	-27.3964
4.84	-24.4313	-27.3995
4.85	-24.4645	-27.4018
4.86	-24.4972	-27.4033
4.87	-24.5294	-27.404
4.88	-24.5611	-27.404
4.89	-24.5923	-27.4033
4.9	-24.623	-27.4019
4.91	-24.6532	-27.3999
4.92	-24.6829	-27.3973
4.93	-24.7121	-27.3941
4.94	-24.7408	-27.3904
4.95	-24.769	-27.3862
4.96	-24.7968	-27.3815
4.97	-24.824	-27.3764
4.98	-24.8508	-27.3708
4.99	-24.877	-27.3648
5	-24.9028	-27.3585
